"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00983521697869036,0.0128548011388146,0.0167371236304029,0.0387369510827366,0.14934000517643,0.59830903287033,0.796480027607627
"0.05",0.0498662755586231,0.0637563626951946,0.0804934863255974,0.156845828660167,0.419894745923561,0.792338883616599,0.903890949874903
"0.1",0.099905098783539,0.124320593563972,0.154343887498922,0.280044862393236,0.600983521697869,0.86938141661634,0.942972996290225
"0.2",0.199896471400224,0.240531446812182,0.285911483047192,0.477008023466483,0.775429212319903,0.935639720472781,0.967906134069537
"0.3",0.29988784401691,0.357605038391856,0.422137865585368,0.645241998101976,0.871365714778708,0.961608144249849,0.983521697869036
"0.4",0.399879216633595,0.466655163488914,0.539211457165042,0.774652747821586,0.922871193167112,0.979466827711155,0.993184367181434
"0.5",0.49987058925028,0.575015097920801,0.654214476749202,0.864032438961263,0.956690535760504,0.986455008196014,0.999654904667414
"0.6",0.599861961866966,0.680096626693124,0.764903804676042,0.928392718488482,0.97791389871452,0.999741178500561,0.999827452333707
"0.7",0.699853334483651,0.784660512466569,0.866534380122509,0.964972823742559,0.986541282029161,0.999913726166854,1
"0.8",0.799844707100337,0.886118540246743,0.95030627210767,0.986023639030282,0.999913726166854,1,1
"0.9",0.899836079717022,0.973082564058321,0.988180484858942,0.999913726166854,1,1,1
"1",0.999913726166854,1,1,1,1,1,1
